Manufacturer,Mark,price,Engine_capacity,Gearbox,Hurd,Type,Color,Year_of_manufacture,Year_of_entry,Engine,Interior_color,Leasing,Drive,Mileage,Conditions,Gate
Mazda,CX,50000000,2.5,Автомат,Буруу,Жийп,Цагаан,2018,2021,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,43000,Дугаар авсан,5
Toyota,Land Cruiser 80,16000000,3.5,Автомат,Буруу,Жийп,Саарал,1995,2010,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,-2147483648,Дугаар авсан,5
Toyota,Land Cruiser Prado,112000000,3.0,Автомат,Буруу,Жийп,Саарал,2007,2017,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,170000,Дугаар авсан,5
Toyota,Vanguard ,28500000,2.4,Автомат,Буруу,Суудлын тэрэг,Цагаан,2009,2019,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,198000,Дугаар авсан,5
Toyota,Aqua,11500000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2022,Бензин,Саарал,Лизинггүй,Урдаа FWD,200,Дугаар авсан,4
Nissan,Patrol,85000000,3.9,Автомат,Зөв,Жийп,Саарал,2019,2021,Бензин,Бор,Лизинггүй,Бүх дугуй 4WD,25867,Дугаар авсан,5
Toyota,Camry,34000000,2.4,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2022,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,116000,Дугаар авсан,4
Toyota,Raum,5800000,1.5,Автомат,Буруу,Суудлын тэрэг,Боронзон,2004,2013,Бензин,Цагаан шар,Лизинггүй,Урдаа FWD,12345,Дугаар авсан,5
Toyota,Crown,43000000,2.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2008,2014,Бензин,Хар,Лизинггүй,Хойноо RWD,200000,Дугаар авсан,5
Toyota,Land Cruiser Prado,145000000,2.7,Автомат,Буруу,Жийп,Улаан,2017,2023,Бензин,Цагаан шар,Банкны лизингтэй,Бүх дугуй 4WD,56000,Дугаар аваагүй,5
Lexus,RX,23500000,3.5,Автомат,Зөв,Жийп,Шар,2013,2022,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,115000,Дугаар авсан,5
Toyota,Crown,46800000,2.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2008,2017,Бензин,Хар,Лизинггүй,Хойноо RWD,150000,Дугаар авсан,5
Hyundai,Starex,27000000,2.5,Автомат,Зөв,Гэр бүлийн,Хар,2015,2022,Дизель,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,69000,Дугаар аваагүй,5
Toyota,"Prius 40, 41",2400000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2014,2023,Хайбрид,Хар,ББСБ лизингтэй,Хойноо RWD,109000,Дугаар аваагүй,5
Toyota,Prius 30,16500000,1.8,Автомат,Буруу,Суудлын тэрэг,Бусад,2012,2023,Хайбрид,Хар,Лизинггүй,Урдаа FWD,94000,Дугаар аваагүй,5
Toyota,Prius 30,13500000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2021,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,210000,Дугаар авсан,5
Toyota,Sai,35500000,2.4,Автомат,Буруу,Суудлын тэрэг,Хөх,2010,2017,Бензин,Бусад,Лизинггүй,Урдаа FWD,1,Дугаар авсан,4
Lada,Vesta,25000000,1.8,Автомат,Зөв,Суудлын тэрэг,Цагаан,2019,2020,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,10000,Дугаар авсан,4
Toyota,Prius 30,17500000,1.8,Автомат,Буруу,Суудлын тэрэг,Улаан,2009,2021,Хайбрид,Цагаан шар,Лизинггүй,Урдаа FWD,215000,Дугаар авсан,5
Lexus,NX,90000000,2.0,Автомат,Зөв,Жийп,Хар,2015,2016,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,59000,Дугаар авсан,5
Toyota,Sai,20000000,2.4,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2021,Хайбрид,Цагаан шар,Лизинггүй,Урдаа FWD,190000,Дугаар авсан,5
Toyota,Alphard,98000000,2.4,Автомат,Буруу,Гэр бүлийн,Цайвар цэнхэр,2004,2014,Хайбрид,Бусад,Лизинггүй,Бүх дугуй 4WD,380000,Дугаар авсан,5
Toyota,Aqua,13700000,1.5,Автомат,Буруу,Суудлын тэрэг,Хүрэн,2015,2023,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,146000,Дугаар аваагүй,4
Toyota,Prius 30,18500000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2010,2019,Хайбрид,Бусад,ББСБ лизингтэй,Урдаа FWD,156000,Дугаар авсан,5
Toyota,Aqua,15500000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2014,2023,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,200000,Дугаар аваагүй,5
Toyota,Prius 30,24500000,1.6,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2013,2023,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,84300,Дугаар аваагүй,5
Toyota,Prius 30,16300000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2014,2020,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,200000000,Дугаар авсан,4
Toyota,Sai,25300000,2.4,Автомат,Буруу,Суудлын тэрэг,Хар,2010,2021,Цахилгаан,Хар,Лизинггүй,Урдаа FWD,9999,Дугаар авсан,5
Lada,Niva,24000000,1.6,Механик,Зөв,Жийп,Хар,2020,2022,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,20,Дугаар авсан,4
Toyota,Rumion,10500000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,164500,Дугаар авсан,5
Nissan,Teana,7000000,2.5,Автомат,Зөв,Суудлын тэрэг,Хар,2016,2016,Бензин,Шаргал,Лизинггүй,Урдаа FWD,48000,Дугаар авсан,4
Toyota,Sai,26500000,2.3,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,252069,Дугаар авсан,4
Toyota,Mark,7000000,2.0,Автомат,Буруу,Суудлын тэрэг,Саарал,2004,2012,Бензин,Саарал,Лизинггүй,Хойноо RWD,185514,Дугаар авсан,5
Lexus,LX,65000000,4.7,Автомат,Зөв,Жийп,Хар,2006,2013,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,142000,Дугаар авсан,5
Nissan,Murano,23500000,3.5,Автомат,Зөв,Жийп,Хөх,2006,2012,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,184000,Дугаар авсан,4
Nissan,Patrol,16000000,3.0,Механик,Зөв,Жийп,Шар,1997,2005,Дизель,Саарал,Лизинггүй,Бүх дугуй 4WD,0,Дугаар авсан,5
Toyota,"Prius 40, 41",32000000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2023,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,156000,Дугаар аваагүй,5
Toyota,Alphard,16000000,2.4,Автомат,Буруу,Гэр бүлийн,Ягаан,2012,2023,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,100000,Дугаар аваагүй,5
Toyota,Harrier,20000000,3.3,Автомат,Буруу,Жийп,Сувдан цагаан,2007,2020,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,151000,Дугаар авсан,5
Toyota,Prius 30,20000000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2022,Хайбрид,Хар,Лизинггүй,Урдаа FWD,1,Дугаар авсан,4
Toyota,"Prius 40, 41",32000000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2021,Хайбрид,Шаргал,Лизинггүй,Урдаа FWD,190000,Дугаар авсан,5
Toyota,"Prius 40, 41",30500000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,220000,Дугаар авсан,5
Toyota,Land Cruiser 200,155000000,4.0,Автомат,Зөв,Жийп,Хар,2019,2020,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,30000,Дугаар авсан,5
Nissan,Teana,18800000,2.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2014,2020,Бензин,Шаргал,ББСБ лизингтэй,Урдаа FWD,127000,Дугаар авсан,5
BMW,X5,115000000,3.0,Автомат,Зөв,Жийп,Хар,2008,2011,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,130000,Дугаар авсан,4
Toyota,"Prius 40, 41",27900000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2023,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,171000,Дугаар аваагүй,5
Subaru,Forester,20000000,2.5,Автомат,Буруу,Жийп,Саарал,2021,2023,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,50000,Дугаар авсан,5
Toyota,Wish,22000000,1.8,Автомат,Буруу,Гэр бүлийн,Улаан,2010,2018,Бензин,Хар,Лизинггүй,Урдаа FWD,21111,Дугаар авсан,4
Lexus,LX,100000000,4.7,Автомат,Зөв,Жийп,Цагаан,2003,2008,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,123000,Дугаар авсан,5
Toyota,Prius 30,24600000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2014,2023,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,200,Шинэ,5
Subaru,Legacy,21000000,2.0,Автомат,Буруу,Суудлын тэрэг,Бусад,2009,2018,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,251000,Дугаар авсан,5
Ford,Explorer,85000000,3.6,Автомат,Зөв,Жийп,Хар,2013,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,150000,Дугаар аваагүй,5
Toyota,Prius 20,11000000,5.0,Автомат,Буруу,Суудлын тэрэг,Саарал,2005,2017,Бензин,Саарал,Лизинггүй,Урдаа FWD,1234,Дугаар авсан,4
Toyota,Crown,29500000,2.0,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2019,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,1000,Дугаар авсан,4
Toyota,Camry,52000000,2.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2016,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,179000,Дугаар авсан,5
Toyota,Alphard,49000000,2.4,Автомат,Буруу,Гэр бүлийн,Хар,2013,2022,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,150000,Дугаар авсан,5
Toyota,Kluger,89000000,3.3,Автомат,Буруу,Жийп,Цагаан,2005,2020,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,240000,Дугаар авсан,5
Toyota,"Prius 40, 41",22000000,1.8,Автомат,Буруу,Гэр бүлийн,Хар,2011,2023,Хайбрид,Бусад,ББСБ лизингтэй,Урдаа FWD,199000,Дугаар авсан,5
Toyota,Harrier,30000000,3.3,Автомат,Буруу,Суудлын тэрэг,Хар,2005,2023,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,157000,Дугаар авсан,5
Toyota,Crown,11300000,2.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2010,2019,Бензин,Хар,Лизинггүй,Хойноо RWD,160000,Дугаар авсан,5
Toyota,"Prius 40, 41",33000000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2019,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,195000,Дугаар авсан,5
Toyota,Land Cruiser Prado,95000000,2.7,Автомат,Буруу,Жийп,Саарал,2011,2021,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,181000,Дугаар авсан,5
Toyota,Highlander,40000000,3.5,Автомат,Зөв,Жийп,Хар,2012,2022,Хайбрид,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,100000,Дугаар авсан,5
Toyota,Camry,34000000,2.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2021,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,141000,Дугаар авсан,4
Lexus,LX,100000000,4.7,Механик,Зөв,Жийп,Хар саарал,2007,2011,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,120000,Дугаар авсан,5
Subaru,Forester,17000000,2.0,Автомат,Буруу,Жийп,Хар,2013,2020,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Lexus,RX,23500000,3.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2016,2021,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,100000,Дугаар авсан,5
Toyota,Prius 20,12900000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2007,2014,Бензин,Саарал,Лизинггүй,Урдаа FWD,1111111,Дугаар авсан,4
Lexus,RX,70000000,3.5,Автомат,Зөв,Жийп,Шар,2013,2018,Бензин,Шаргал,ББСБ лизингтэй,Бүх дугуй 4WD,73525,Дугаар авсан,4
Toyota,Crown,9000000,3.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2017,Хайбрид,Хар,Лизинггүй,Хойноо RWD,170000,Дугаар авсан,5
Lexus,RX,122000000,3.5,Автомат,Зөв,Жийп,Цагаан,2013,2023,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,63000,Дугаар аваагүй,4
Toyota,Harrier,30000000,3.3,Автомат,Буруу,Жийп,Боронзон,2006,2020,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,191000,Дугаар авсан,4
Toyota,Prius 30,19300000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2013,2022,Хайбрид,Хар,Лизинггүй,Урдаа FWD,200,Дугаар авсан,5
Toyota,Harrier,23000000,2.5,Автомат,Буруу,Жийп,Цагаан,2017,2023,Хайбрид,Бусад,Лизинггүй,Бүх дугуй 4WD,180000,Дугаар аваагүй,5
Toyota,Land Cruiser Prado,150000000,2.7,Автомат,Буруу,Жийп,Цагаан,2020,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,45000,Дугаар аваагүй,5
Toyota,Prius 30,24500000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,232137,Дугаар авсан,4
Suzuki,Jimny,68000000,0.6,Автомат,Буруу,Жийп,Бор,2013,2023,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,75000,Дугаар авсан,3
Toyota,"Prius 40, 41",28000000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2011,2021,Бензин,Цагаан шар,Лизинггүй,Урдаа FWD,150000,Дугаар авсан,4
Toyota,Prius 30,20500000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,232137,Дугаар авсан,4
Toyota,Prius 20,14500000,1.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2006,2021,Хайбрид,Хар,Банкны лизингтэй,Урдаа FWD,200,Дугаар авсан,5
Daewoo,Бусад,70000000,6.0,Механик,Зөв,Жийп,Хүрэн,2005,2018,Дизель,Бусад,Лизинггүй,Бүх дугуй 4WD,111111,Дугаар авсан,2
Mercedes-Benz,GLA-Class,32000000,2.0,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2020,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,69000,Дугаар авсан,4
Toyota,Camry,30000000,2.5,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2012,2022,Хайбрид,Хар,Лизинггүй,Урдаа FWD,130,Дугаар авсан,5
Toyota,Vanguard ,29500000,2.4,Автомат,Буруу,Жийп,Хар,2010,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,2000000,Дугаар авсан,5
Toyota,Sienta,8500000,1.5,Автомат,Буруу,Гэр бүлийн,Хар саарал,2008,2018,Бензин,Саарал,Лизинггүй,Урдаа FWD,2,Дугаар авсан,4
Toyota,Aqua,15000000,1.5,Автомат,Буруу,Суудлын тэрэг,Бусад,2012,2022,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,0,Дугаар авсан,5
Toyota,Ist,6000000,1.5,Автомат,Буруу,Суудлын тэрэг,Шар,2003,2013,Бензин,Хар,Лизинггүй,Урдаа FWD,156000,Дугаар авсан,4
Audi,Бусад,39000000,2.0,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2022,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,123000,Дугаар авсан,5
Lexus,RX,47000000,3.5,Автомат,Буруу,Жийп,Цагаан,2016,2023,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,131004,Дугаар аваагүй,5
Toyota,Harrier,63000000,3.3,Автомат,Зөв,Жийп,Саарал,2006,2014,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,214862,Дугаар авсан,5
Toyota,Crown,26400000,2.5,Автомат,Буруу,Суудлын тэрэг,Хар,2015,2022,Хайбрид,Бор,Лизинггүй,Хойноо RWD,150000,Дугаар авсан,4
Toyota,"Prius 40, 41",22000000,1.7,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2021,Бензин,Саарал,ББСБ лизингтэй,Урдаа FWD,254,Дугаар авсан,5
Toyota,Hilux,49500000,2.9,Автомат,Буруу,Жийп,Цагаан,2011,2022,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,100000,Дугаар авсан,4
Mitsubishi,Delica,18000000,3.0,Автомат,Буруу,Гэр бүлийн,Цагаан,2003,2012,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,200,Дугаар авсан,4
Mitsubishi,Outlander,10500000,2.4,Автомат,Буруу,Жийп,Хар,2010,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,170000,Дугаар авсан,5
Toyota,"Prius 40, 41",29000000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2013,2022,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,160000,Дугаар авсан,4
Toyota,Land Cruiser Prado,85000000,2.7,Автомат,Зөв,Жийп,Хүрэн,2010,2011,Бензин,Бусад,ББСБ лизингтэй,Бүх дугуй 4WD,162000,Дугаар авсан,5
Toyota,"Prius 40, 41",34000000,1.8,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2012,2023,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,135000,Дугаар аваагүй,5
Toyota,Vellfire,48000000,2.4,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2013,2021,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,188888,Дугаар авсан,6
Toyota,Prius 20,12500000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2008,2020,Бензин,Саарал,ББСБ лизингтэй,Урдаа FWD,190000,Дугаар авсан,5
Lexus,RX,80000000,3.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2020,Хайбрид,Цагаан шар,Лизинггүй,Урдаа FWD,10,Дугаар авсан,5
Toyota,Harrier,19500000,3.3,Автомат,Буруу,Жийп,Сувдан цагаан,2011,2020,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,150000,Дугаар авсан,5
Toyota,"Prius 40, 41",30800000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2023,Бензин,Саарал,Лизинггүй,Урдаа FWD,130000,Дугаар аваагүй,5
Land Rover,Range Rover,285000000,2.0,Автомат,Зөв,Жийп,Бор,2019,2020,Бензин,Бор,Лизинггүй,Бүх дугуй 4WD,24000,Дугаар авсан,5
Nissan,X-Trail,9500000,2.0,Автомат,Буруу,Жийп,Саарал,2005,2014,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Toyota,Fielder,20000000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2013,2023,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,190000,Дугаар авсан,4
Toyota,RAV4,45000000,2.0,Автомат,Зөв,Жийп,Улаан,2008,2011,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,120,Дугаар авсан,5
Lexus,HS,25800000,2.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2010,2022,Бензин,Хар,Лизинггүй,Урдаа FWD,173,Дугаар авсан,4
Toyota,"Prius 40, 41",29800000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2022,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,200000,Дугаар авсан,4
Toyota,Land Cruiser 200,180000000,4.6,Автомат,Буруу,Жийп,Хар,2013,2022,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,120000,Дугаар авсан,5
Lexus,NX,65000000,3.0,Автомат,Буруу,Жийп,Саарал,2014,2022,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Lexus,IS,17000000,3.5,Автомат,Буруу,Суудлын тэрэг,Хар,2017,2023,Бензин,Хар,Лизинггүй,Урдаа FWD,120000,Дугаар авсан,4
Toyota,4Runner,135000000,4.0,Автомат,Зөв,Жийп,Сувдан цагаан,2016,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,66000,Дугаар авсан,5
Toyota,Allion,12800000,1.5,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2002,2009,Бензин,Бусад,Лизинггүй,Урдаа FWD,250000,Дугаар авсан,5
Toyota,Kluger,12000000,3.4,Автомат,Буруу,Жийп,Сувдан цагаан,2011,2021,Бензин,Хар,Лизинггүй,Урдаа FWD,19397,Дугаар авсан,4
Toyota,Alphard,13000000,3.5,Автомат,Буруу,Гэр бүлийн,Хар,2010,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,180000,Дугаар авсан,5
Toyota,Mark,5800000,2.4,Автомат,Буруу,Гэр бүлийн,Цайвар цэнхэр,2011,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,149,Дугаар авсан,4
Lexus,RX,56000000,3.5,Автомат,Зөв,Жийп,Саарал,2017,2023,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,46000,Дугаар аваагүй,5
Toyota,Alphard,13000000,2.4,Автомат,Буруу,Гэр бүлийн,Хар,2013,2021,Хайбрид,Шаргал,Лизинггүй,Бүх дугуй 4WD,220000,Дугаар авсан,5
Toyota,Harrier,31000000,2.4,Автомат,Буруу,Жийп,Сувдан цагаан,2014,2023,Хайбрид,Шаргал,ББСБ лизингтэй,Бүх дугуй 4WD,150,Дугаар аваагүй,5
Toyota,Harrier,73000000,2.5,Автомат,Буруу,Жийп,Хар,2014,2023,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,140,Дугаар аваагүй,5
Toyota,Prius 30,20800000,1.6,Автомат,Буруу,Суудлын тэрэг,Улаан,2012,2019,Бензин,Саарал,Лизинггүй,Урдаа FWD,150000,Дугаар авсан,5
Toyota,Prius 30,16500000,1.8,Автомат,Буруу,Суудлын тэрэг,Бусад,2013,2022,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,100000,Дугаар авсан,5
Toyota,Harrier,20000000,2.4,Автомат,Буруу,Жийп,Цэнхэр,2008,2017,Бензин,Хар,Лизинггүй,Урдаа FWD,170000,Дугаар авсан,5
Toyota,Fielder,20000000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2015,2020,Хайбрид,Хар,Лизинггүй,Урдаа FWD,241000,Дугаар авсан,5
Volkswagen,Touareg,150000000,2.9,Автомат,Зөв,Жийп,Хүрэн,2020,2020,Бензин,Бусад,Лизинггүй,Бүх дугуй 4WD,40000,Дугаар авсан,5
Suzuki,Jimny,68000000,1.5,Механик,Зөв,Жийп,Хар саарал,2019,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,45000,Дугаар авсан,3
Toyota,Spade Porte,15800000,1.5,Автомат,Буруу,Суудлын тэрэг,Ягаан,2012,2021,Бензин,Цагаан шар,ББСБ лизингтэй,Урдаа FWD,151000,Дугаар авсан,4
Changan,Бусад,82000000,1.5,Автомат,Зөв,Жийп,Боронзон,2023,2023,Цахилгаан,Саарал,ББСБ лизингтэй,Урдаа FWD,1,Шинэ,5
Toyota,Harrier,19000000,3.3,Автомат,Буруу,Суудлын тэрэг,Хар,2005,2018,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,0,Дугаар авсан,5
Mercedes-Benz,G-Class,130000000,4.0,Автомат,Зөв,Жийп,Хар,2018,2019,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,28000,Шинэ,5
Ford,Ranger,136000000,3.2,Автомат,Буруу,Жийп,Саарал,2014,2021,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар аваагүй,4
Mercedes-Benz,E-Class,113000000,3.5,Автомат,Зөв,Суудлын тэрэг,Саарал,2014,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,83000,Дугаар аваагүй,4
Toyota,Alphard,82000000,3.5,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2012,2022,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,149000,Дугаар авсан,5
Mercedes-Benz,Бусад,110000000,3.2,Автомат,Зөв,Жийп,Хар саарал,2016,2021,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,120000,Дугаар аваагүй,5
Toyota,Camry,39000000,2.5,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2023,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,150000,Дугаар аваагүй,4
Lexus,LX,290000000,5.7,Автомат,Зөв,Жийп,Хар,2013,2020,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,92000,Дугаар авсан,5
Mercedes-Benz,S-Class,140000000,4.7,Автомат,Зөв,Суудлын тэрэг,Хар саарал,2015,2021,Бензин,Бор,ББСБ лизингтэй,Бүх дугуй 4WD,100000,Дугаар авсан,5
Jeep,Wrangler,68000000,2.0,Автомат,Зөв,Жийп,Цагаан,2023,2023,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,0,Шинэ,5
Nissan,Patrol,175000000,5.6,Автомат,Зөв,Жийп,Саарал,2010,2011,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,110000,Дугаар авсан,5
Toyota,Sai,22000000,2.3,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2023,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,159000,Дугаар аваагүй,5
Toyota,Crown,42000000,2.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2016,2020,Хайбрид,Шаргал,Лизинггүй,Урдаа FWD,210000,Дугаар авсан,4
Toyota,Aqua,14800000,1.5,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2021,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,159000,Дугаар авсан,4
Toyota,Hiace,37000000,3.0,Механик,Буруу,Суудлын тэрэг,Цагаан,2009,2021,Дизель,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,205000,Дугаар авсан,4
Jeep,Grand Cherokee,63000000,3.0,Автомат,Буруу,Жийп,Саарал,2019,2021,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,33000,Дугаар авсан,5
BMW,3-сери,15000000,2.0,Автомат,Зөв,Суудлын тэрэг,Хар,2015,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,110000,Дугаар авсан,5
Mercedes-Benz,S-Class,140000000,3.5,Автомат,Зөв,Суудлын тэрэг,Цэнхэр,2011,2019,Бензин,Хар,Лизинггүй,Хойноо RWD,75000,Дугаар авсан,4
