Manufacturer,Mark,price,Engine_capacity,Gearbox,Hurd,Type,Color,Year_of_manufacture,Year_of_entry,Engine,Interior_color,Leasing,Drive,Mileage,Conditions,Gate
Lexus,LX,300000000,5.7,Автомат,Зөв,Жийп,Хар,2019,2023,Бензин,Бусад,Лизинггүй,Бүх дугуй 4WD,40000,Дугаар авсан,5
Toyota,Aqua,14800000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2016,2021,Бензин,Хар,Лизинггүй,Урдаа FWD,175000,Дугаар авсан,5
Toyota,Highlander,62000000,3.3,Автомат,Зөв,Жийп,Саарал,2009,2017,Бензин,Саарал,Лизинггүй,Урдаа FWD,180000,Дугаар авсан,5
Toyota,Prius 30,17500000,6.0,Автомат,Буруу,Суудлын тэрэг,Бусад,2013,2022,Бензин,Хар,Банкны лизингтэй,Урдаа FWD,76938,Дугаар авсан,5
Toyota,Land Cruiser Prado,75000000,2.7,Автомат,Зөв,Жийп,Хар саарал,2023,2023,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,20000,Дугаар авсан,5
Toyota,Prius 30,24000000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2022,Хайбрид,Хар,Лизинггүй,Урдаа FWD,120,Дугаар авсан,5
Lexus,HS,18000000,2.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2009,2023,Хайбрид,Хар,Лизинггүй,Урдаа FWD,220000,Дугаар авсан,5
Toyota,Sai,29000000,2.5,Автомат,Буруу,Суудлын тэрэг,Ягаан,2015,2022,Хайбрид,Бусад,Банкны лизингтэй,Урдаа FWD,100000,Дугаар авсан,5
Toyota,"Prius 40, 41",24000000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2015,2023,Хайбрид,Хар,Лизинггүй,Урдаа FWD,160000,Дугаар авсан,5
Lexus,RX,56000000,2.7,Автомат,Буруу,Жийп,Цагаан,2013,2023,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,108000,Дугаар аваагүй,5
Toyota,Sai,33000000,2.4,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2023,Хайбрид,Шаргал,Лизинггүй,Урдаа FWD,97000,Дугаар авсан,5
Lexus,RX,23500000,3.5,Автомат,Буруу,Жийп,Сувдан цагаан,2013,2022,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,95000,Дугаар авсан,5
Lexus,HS,27000000,2.5,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2010,2021,Бензин,Шаргал,Лизинггүй,Урдаа FWD,80000,Дугаар авсан,5
Toyota,Corolla,29500000,1.6,Автомат,Буруу,Суудлын тэрэг,Саарал,2004,2012,Бензин,Саарал,Лизинггүй,Урдаа FWD,1131000,Дугаар авсан,4
Toyota,Land Cruiser Prado,45000000,2.7,Автомат,Зөв,Жийп,Хар,2014,2014,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,108,Дугаар авсан,5
Toyota,Land Cruiser 200,155000000,4.6,Автомат,Зөв,Жийп,Сувдан цагаан,2014,2014,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,1200,Дугаар авсан,5
Toyota,Sai,27000000,2.4,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2020,Хайбрид,Бор,Лизинггүй,Урдаа FWD,154000,Дугаар авсан,5
Toyota,Crown,11300000,2.5,Автомат,Буруу,Суудлын тэрэг,Хар,2016,2022,Хайбрид,Шаргал,Лизинггүй,Хойноо RWD,1834717,Дугаар авсан,4
Lexus,RX,70000000,3.5,Автомат,Буруу,Жийп,Сувдан цагаан,2016,2023,Хайбрид,Бор,Лизинггүй,Урдаа FWD,130130,Дугаар авсан,5
Toyota,Prius 30,20800000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2019,Бензин,Саарал,Лизинггүй,Урдаа FWD,165,Дугаар авсан,4
Toyota,Kluger,79000000,3.3,Автомат,Буруу,Жийп,Бор,2005,2023,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,184000,Дугаар авсан,5
Nissan,Advan,7800000,3.1,Автомат,Зөв,Суудлын тэрэг,Сувдан цагаан,2012,2018,Бензин,Цагаан шар,Лизинггүй,Урдаа FWD,7000,Дугаар авсан,4
